PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"800 Florida Ave NE, Washington, DC 20002",,,,,,,,,
Location:,"Lat, Lon: 38.89, -76.98",,,,,,,,,
Lat (deg N):,38.89,,,,,,,,,
Long (deg W):,76.98,,,,,,,,,
Elev (m):,22.44000053,,,,,,,,,
DC System Size (kW):,34,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.11,,,,,,,,,
Capacity Factor (%),"15.6	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
4,17,9,872,123,8,3,822.428,27.168,23661.127,22756.004
4,17,10,659,238,9,3,866.738,30.129,24691.797,23740.887
4,17,11,632,282,10,3,935.156,32.766,26319.43,25293.85
4,17,12,894,155,11,3,1062.761,36.783,29325.352,28154.252
4,17,13,835,177,12,3,979.376,36.152,27097.105,26034.824
4,17,14,660,202,11,3,765.578,30.105,21765.277,20941.34
4,17,15,699,165,11,3,636.736,26.579,18211.324,17528.99
4,17,16,623,98,10,3,383.568,19.274,10871.327,10437.723
4,17,17,361,94,8,2,169.502,12.03,4555.09,4288.358
4,17,18,33,16,6,2,14.966,4.874,478.551,296.355
4,17,19,0,0,4,3,0,4,0,0
4,17,20,0,0,3,2,0,3,0,0
4,17,21,0,0,2,2,0,2,0,0
4,17,22,0,0,1,2,0,1,0,0
4,17,23,0,0,1,1,0,1,0,0
4,18,0,0,0,0,1,0,0,0,0
4,18,1,0,0,0,1,0,0,0,0
4,18,2,0,0,0,1,0,0,0,0
4,18,3,0,0,0,1,0,0,0,0
4,18,4,0,0,0,1,0,0,0,0
4,18,5,0,0,1,1,0,1,0,0
4,18,6,0,65,3,1,61.289,2.312,1981.357,1770.113
4,18,7,252,150,4,1,249.471,10.106,7474.368,7135.932
4,18,8,308,232,5,1,425.333,17.789,12696.474,12206.524
4,18,9,252,327,6,1,539.016,23.152,15848.254,15252.428
4,18,10,361,362,7,1,712.512,29.822,20333.318,19568.098
4,18,11,227,432,8,1,673.058,30.384,19163.711,18444.783
4,18,12,398,382,9,1,801.955,34.878,22338.977,21490.889
4,18,13,283,396,10,1,684.078,32.979,19229.826,18508.324
4,18,14,144,354,10,1,480.896,26.45,13938.689,13408.308
4,18,15,335,249,10,1,475.567,25.33,13750.261,13226.121
4,18,16,258,172,9,1,288.633,18.529,8424.9,8061.106
4,18,17,232,86,8,0,133.26,14.035,3649.028,3402.657
4,18,18,0,15,7,0,14.21,5.38,453.4,271.67
4,18,19,0,0,6,1,0,6,0,0
4,18,20,0,0,6,1,0,6,0,0
4,18,21,0,0,6,1,0,6,0,0
4,18,22,0,0,5,1,0,5,0,0
4,18,23,0,0,5,1,0,5,0,0
4,19,0,0,0,5,1,0,5,0,0
4,19,1,0,0,5,1,0,5,0,0
4,19,2,0,0,5,1,0,5,0,0
4,19,3,0,0,5,0,0,5,0,0
4,19,4,0,0,5,0,0,5,0,0
4,19,5,0,0,5,0,0,5,0,0
4,19,6,218,68,6,1,99.875,6.698,2731.438,2504.771
4,19,7,339,140,8,2,274.525,13.912,8012.989,7660.305
4,19,8,661,157,10,2,573.308,24.544,16475.553,15857.356
4,19,9,644,198,13,3,725.306,30.109,20595.002,19819.219
4,19,10,485,310,15,3,780.369,33.691,21853.32,21025.701
4,19,11,428,365,16,3,819.07,35.677,22725.484,21860.92
4,19,12,508,344,16,3,880.472,37.165,24249.709,23318.58
4,19,13,497,317,17,3,810.314,36.683,22363.873,21514.729
4,19,14,357,321,17,2,628.846,34.496,17517.586,16861.281
4,19,15,381,239,16,2,495.381,29.52,14029.736,13496.324
4,19,16,324,164,15,1,310.201,25.187,8734.013,8361.76
4,19,17,163,91,13,1,123.222,16.302,3437.928,3196.172
4,19,18,0,16,11,1,15.16,9.605,474.921,292.792
4,19,19,0,0,10,2,0,10,0,0
4,19,20,0,0,9,2,0,9,0,0
4,19,21,0,0,8,1,0,8,0,0
4,19,22,0,0,7,1,0,7,0,0
4,19,23,0,0,6,1,0,6,0,0
4,20,0,0,0,6,1,0,6,0,0
4,20,1,0,0,6,1,0,6,0,0
4,20,2,0,0,5,1,0,5,0,0
4,20,3,0,0,5,2,0,5,0,0
4,20,4,0,0,5,2,0,5,0,0
4,20,5,0,0,6,2,0,6,0,0
4,20,6,216,70,7,3,101.953,7.666,2788.991,2561.115
4,20,7,306,147,9,3,268.922,14.081,7879.148,7530.035
4,20,8,360,225,11,4,450.84,19.99,13310.773,12801.039
4,20,9,354,307,12,4,599.033,24.59,17486.176,16831.037
4,20,10,546,292,13,4,818.022,30.569,23257.561,22370.049
4,20,11,564,320,14,4,906.815,33.859,25386.129,24403.719
4,20,12,595,309,14,3,930.511,36.585,25701.848,24704.941
4,20,13,880,145,15,3,988.937,38.918,26986.25,25929.242
4,20,14,849,136,14,3,850.052,34.953,23593.035,22690.896
4,20,15,503,202,14,3,543.395,27.537,15506.336,14922.521
4,20,16,697,103,13,3,422.502,22.926,11769.047,11308.183
4,20,17,525,71,10,2,184.826,14.59,4661.785,4392.598
4,20,18,140,20,8,2,16.266,6.996,515.387,332.509
4,20,19,0,0,6,2,0,6,0,0
4,20,20,0,0,5,1,0,5,0,0
4,20,21,0,0,4,1,0,4,0,0
4,20,22,0,0,3,1,0,3,0,0
4,20,23,0,0,3,1,0,3,0,0
4,21,0,0,0,3,1,0,3,0,0
4,21,1,0,0,3,1,0,3,0,0
4,21,2,0,0,3,1,0,3,0,0
4,21,3,0,0,2,1,0,2,0,0
4,21,4,0,0,2,1,0,2,0,0
4,21,5,0,0,3,1,0,3,0,0
4,21,6,519,57,5,1,141.796,7.126,3448.593,3206.604
4,21,7,728,85,8,1,382.101,18.799,10609.313,10183.498
4,21,8,833,103,10,1,625.271,29.375,17518.547,16862.207
4,21,9,891,115,12,1,830.02,38.277,22625.002,21764.736
4,21,10,933,116,14,1,983.546,45.234,25978.469,24968.771
4,21,11,946,119,15,0,1064.327,55.612,26616.529,25577.006
4,21,12,946,118,16,0,1069.691,57.046,26540.967,25504.998
4,21,13,926,118,17,0,997.677,55.941,24893.658,23933.645
4,21,14,893,113,18,1,858.005,46.15,22496.316,21641.539
4,21,15,836,103,18,1,662.456,40.134,17697.725,17034.711
4,21,16,742,88,17,1,427.728,31.498,11406.242,10956.501
4,21,17,562,64,15,1,186.349,20.961,4506.375,4240.762
4,21,18,160,20,12,1,16.161,11.023,503.13,320.48
4,21,19,0,0,10,1,0,10,0,0
4,21,20,0,0,10,1,0,10,0,0
4,21,21,0,0,9,2,0,9,0,0
4,21,22,0,0,9,2,0,9,0,0
4,21,23,0,0,9,2,0,9,0,0
4,22,0,0,0,8,2,0,8,0,0
4,22,1,0,0,8,2,0,8,0,0
4,22,2,0,0,8,1,0,8,0,0
4,22,3,0,0,8,1,0,8,0,0
4,22,4,0,0,8,1,0,8,0,0
4,22,5,0,0,8,1,0,8,0,0
4,22,6,239,88,10,2,123.529,11.364,3368.605,3128.353
4,22,7,468,144,12,2,335.19,19.642,9480.169,9087.064
4,22,8,585,183,14,1,553.193,30.853,15459.095,14876.929
4,22,9,39,299,17,1,328.083,27.977,9445.143,9053.03
4,22,10,715,216,19,1,898.312,45.562,23690.219,22783.82
4,22,11,31,358,21,2,391.134,32.581,11018.93,10580.903
4,22,12,0,137,21,2,131.341,24.094,3853.158,3602.278
4,22,13,15,278,20,2,283.778,26.304,8238.903,7880.149
4,22,14,17,260,19,1,265.562,26.737,7692.877,7348.699
4,22,15,104,277,19,1,341.736,29.013,9758.349,9357.315
4,22,16,512,131,18,1,365.519,29.113,9978.958,9571.576
4,22,17,0,7,17,1,6.623,16.802,200.923,23.824
4,22,18,55,19,15,1,16.336,13.1,503.917,321.252
4,22,19,0,0,14,1,0,14,0,0
4,22,20,0,0,14,1,0,14,0,0
4,22,21,0,0,13,3,0,13,0,0
4,22,22,0,0,12,4,0,12,0,0
4,22,23,0,0,10,4,0,10,0,0
4,23,0,0,0,9,4,0,9,0,0
4,23,1,0,0,8,4,0,8,0,0
4,23,2,0,0,7,4,0,7,0,0
4,23,3,0,0,6,4,0,6,0,0
4,23,4,0,0,6,4,0,6,0,0
4,23,5,0,0,6,4,0,6,0,0
4,23,6,500,61,7,4,144.881,8.581,3560.155,3315.732
4,23,7,698,92,9,5,379.907,15.292,10761.542,10331.21
4,23,8,293,246,10,6,431.973,16.877,12965.032,12466.484
4,23,9,59,323,11,6,368.424,16.832,11168.053,10725.535
4,23,10,899,130,12,6,968.488,28.307,27831.246,26733.713
4,23,11,897,144,13,6,1042.909,31.39,29549.355,28333.332
4,23,12,881,154,14,6,1050.93,32.63,29598.57,28333.332
4,23,13,852,159,14,6,977.916,31.366,27699.691,26608.52
4,23,14,803,158,13,6,835.324,27.772,24009.166,23088.711
4,23,15,735,146,13,6,641.832,24.192,18558.371,17862.816
4,23,16,630,123,12,5,413.107,19.784,11732.344,11272.611
4,23,17,438,86,11,5,179.807,13.823,4692.294,4422.401
4,23,18,81,24,9,4,20.361,8.209,641.738,456.508
4,23,19,0,0,7,4,0,7,0,0
4,23,20,0,0,7,4,0,7,0,0
4,23,21,0,0,6,3,0,6,0,0
4,23,22,0,0,4,2,0,4,0,0
4,23,23,0,0,4,2,0,4,0,0
4,24,0,0,0,3,2,0,3,0,0
4,24,1,0,0,3,2,0,3,0,0
4,24,2,0,0,2,2,0,2,0,0
4,24,3,0,0,2,2,0,2,0,0
4,24,4,0,0,1,2,0,1,0,0
4,24,5,71,10,2,2,7.593,0.039,247.85,69.896
4,24,6,553,58,4,3,152.255,5.922,3728.536,3480.414
4,24,7,749,83,7,3,393.387,15.256,11119.96,10678.894
4,24,8,837,102,9,4,630.693,22.203,18291.244,17605.877
4,24,9,886,116,10,4,830.353,27.976,23807.809,22896.24
4,24,10,903,131,12,3,973.928,35.474,27030.328,25971.225
4,24,11,926,129,13,3,1056.614,38.636,28886.652,27737.406
4,24,12,931,125,14,3,1063.138,39.925,28877.574,27728.777
4,24,13,908,127,15,3,990.85,39.271,26990.563,25933.35
4,24,14,880,117,15,2,852.094,38.748,23205.965,22320.691
4,24,15,829,105,15,2,660.669,33.506,18246.066,17562.416
4,24,16,600,109,15,1,385.871,28.289,10521.603,10098.378
4,24,17,268,90,14,0,145.554,21.413,3829.828,3579.466
4,24,18,52,22,12,0,18.623,11.06,579.663,395.591
4,24,19,0,0,11,0,0,11,0,0
4,24,20,0,0,10,0,0,10,0,0
4,24,21,0,0,9,1,0,9,0,0
4,24,22,0,0,8,1,0,8,0,0
4,24,23,0,0,8,1,0,8,0,0
4,25,0,0,0,7,1,0,7,0,0
4,25,1,0,0,7,1,0,7,0,0
4,25,2,0,0,6,1,0,6,0,0
4,25,3,0,0,6,1,0,6,0,0
4,25,4,0,0,6,1,0,6,0,0
4,25,5,0,9,7,2,8.516,5.135,272.01,93.614
4,25,6,305,83,9,3,132.588,10.471,3533.015,3289.186
4,25,7,570,123,11,3,360.826,18.392,10198.78,9785.02
4,25,8,687,150,13,4,588.45,25.16,16876.338,16243.625
4,25,9,771,160,15,4,791.415,31.935,22273.199,21427.896
4,25,10,277,399,16,4,674.039,30.831,19144.697,18426.512
4,25,11,313,425,17,5,759.41,31.599,21495.861,20683.143
4,25,12,416,382,18,5,827.366,34.051,23141.088,22258.625
4,25,13,156,424,17,6,583.305,27.188,16862.27,16230.069
4,25,14,457,290,16,5,685.325,29.014,19600.475,18864.436
4,25,15,0,96,15,4,91.36,16.972,2769.572,2542.104
4,25,16,0,12,13,3,11.372,11.755,352.897,173.019
4,25,17,0,62,11,3,58.802,10.675,1833.422,1625.147
4,25,18,0,9,11,3,8.514,9.559,266.77,88.47
4,25,19,0,0,10,3,0,10,0,0
4,25,20,0,0,10,2,0,10,0,0
4,25,21,0,0,9,2,0,9,0,0
4,25,22,0,0,9,2,0,9,0,0
4,25,23,0,0,10,3,0,10,0,0
4,26,0,0,0,9,4,0,9,0,0
4,26,1,0,0,8,5,0,8,0,0
4,26,2,0,0,7,5,0,7,0,0
4,26,3,0,0,7,4,0,7,0,0
4,26,4,0,0,6,3,0,6,0,0
4,26,5,52,13,7,3,11.162,5.42,356.096,176.159
4,26,6,450,73,9,3,149.605,10.899,3769.326,3520.303
4,26,7,656,104,12,2,378.462,20.9,10512.637,10089.677
4,26,8,766,122,14,2,609.949,29.742,17095.713,16454.98
4,26,9,821,137,17,2,806.166,38.367,21976.266,21143.488
4,26,10,816,167,18,2,938.452,43.187,25054.4,24087.107
4,26,11,795,196,19,3,1004.557,43.112,26846.457,25796.078
4,26,12,342,424,20,4,789.214,37.598,21689.725,20868.941
4,26,13,775,193,21,4,945.246,41.4,25473.719,24487.299
4,26,14,752,173,21,4,811.714,38.928,22094.346,21256.6
4,26,15,699,153,20,3,625.668,35.225,17164.363,16521.111
4,26,16,312,175,19,3,315.785,26.572,8856.089,8480.465
4,26,17,0,7,18,2,6.623,17.381,200.411,23.321
4,26,18,0,1,16,2,0.945,14.079,29.008,0
4,26,19,0,0,15,3,0,15,0,0
4,26,20,0,0,14,3,0,14,0,0
4,26,21,0,0,13,4,0,13,0,0
4,26,22,0,0,11,3,0,11,0,0
4,26,23,0,0,9,3,0,9,0,0
4,27,0,0,0,8,2,0,8,0,0
4,27,1,0,0,7,2,0,7,0,0
4,27,2,0,0,6,2,0,6,0,0
4,27,3,0,0,6,1,0,6,0,0
4,27,4,0,0,5,1,0,5,0,0
4,27,5,60,13,6,1,9.896,3.603,318.149,138.908
4,27,6,481,69,8,2,153.549,10.22,3842.309,3591.67
4,27,7,696,97,10,3,389.115,18.135,10926.592,10491.334
4,27,8,806,114,11,3,627.214,25.405,17941.162,17269.025
4,27,9,870,124,12,3,832.562,31.75,23447.531,22551.75
4,27,10,918,122,14,3,980.439,37.539,26934.088,25879.555
4,27,11,934,122,15,3,1058.539,40.596,28654.654,27516.881
4,27,12,932,123,16,3,1062.813,41.823,28591.996,27457.311
4,27,13,908,124,16,3,988.241,40.166,26798.426,25750.318
4,27,14,877,118,17,2,851.172,40.616,22964.371,22089.543
4,27,15,820,108,16,2,658.538,34.412,18111.037,17432.498
4,27,16,725,93,15,1,427.063,29.522,11523.29,11069.976
4,27,17,548,70,14,1,191.376,20.122,4705.935,4435.727
4,27,18,177,26,11,1,20.107,10.165,628.327,443.348
4,27,19,0,0,10,1,0,10,0,0
4,27,20,0,0,10,1,0,10,0,0
4,27,21,0,0,9,1,0,9,0,0
4,27,22,0,0,8,1,0,8,0,0
4,27,23,0,0,8,1,0,8,0,0
4,28,0,0,0,7,1,0,7,0,0
4,28,1,0,0,7,1,0,7,0,0
4,28,2,0,0,7,2,0,7,0,0
4,28,3,0,0,7,2,0,7,0,0
4,28,4,0,0,6,2,0,6,0,0
4,28,5,55,14,7,2,11.994,5.239,382.924,202.494
4,28,6,416,74,9,3,146.219,10.818,3732.677,3484.464
4,28,7,191,175,11,2,250.109,16.404,7379.693,7043.729
4,28,8,80,261,12,2,305.977,19.287,9143.339,8759.722
4,28,9,253,345,13,2,558.626,27.193,16120.731,15515.241
4,28,10,109,411,14,2,513.882,27.82,14810.596,14250.826
4,28,11,144,452,15,1,609.965,34.296,17039.998,16401.307
4,28,12,91,441,15,1,536.709,32.568,15120.975,14550.543
4,28,13,26,330,14,1,354.027,25.76,10304.762,9887.906
4,28,14,7,204,14,1,201.904,20.082,6033.832,5731.944
4,28,15,0,158,13,2,151.115,15.89,4603.516,4335.671
4,28,16,0,106,12,2,100.864,13.305,3108.491,2873.838
4,28,17,0,79,11,1,74.696,11.502,2320.512,2102.37
4,28,18,0,12,10,1,11.358,8.171,358.05,178.077
4,28,19,0,0,10,2,0,10,0,0
4,28,20,0,0,9,2,0,9,0,0
4,28,21,0,0,9,3,0,9,0,0
4,28,22,0,0,8,3,0,8,0,0
4,28,23,0,0,8,2,0,8,0,0
4,29,0,0,0,8,2,0,8,0,0
4,29,1,0,0,8,3,0,8,0,0
4,29,2,0,0,8,3,0,8,0,0
4,29,3,0,0,7,4,0,7,0,0
4,29,4,0,0,7,4,0,7,0,0
4,29,5,0,1,7,4,0.944,5.379,30.134,0
4,29,6,0,6,8,4,5.676,6.473,180.24,3.517
4,29,7,0,44,9,5,41.75,8.403,1314.766,1116.712
4,29,8,0,123,9,6,117.285,9.861,3670.018,3423.185
4,29,9,0,117,10,7,111.637,10.785,3479.107,3236.454
4,29,10,11,240,10,7,241.855,12.876,7467.603,7129.344
4,29,11,10,221,10,7,223.188,12.716,6896.366,6572.867
4,29,12,12,248,10,7,251.838,13.157,7766.376,7420.255
4,29,13,0,108,11,6,103.16,11.907,3199.06,2962.466
4,29,14,0,72,11,5,68.54,11.115,2132.904,1918.593
4,29,15,0,142,11,4,135.624,12.565,4193.502,3935.004
4,29,16,0,67,11,4,63.643,11.104,1980.606,1769.377
4,29,17,0,11,10,4,10.411,8.741,327.383,147.974
4,29,18,0,1,9,5,0.945,7.605,29.848,0
4,29,19,0,0,9,5,0,9,0,0
4,29,20,0,0,9,5,0,9,0,0
4,29,21,0,0,9,5,0,9,0,0
4,29,22,0,0,9,5,0,9,0,0
4,29,23,0,0,9,5,0,9,0,0
4,30,0,0,0,9,4,0,9,0,0
4,30,1,0,0,10,4,0,10,0,0
4,30,2,0,0,11,4,0,11,0,0
4,30,3,0,0,11,4,0,11,0,0
4,30,4,0,0,12,4,0,12,0,0
4,30,5,0,3,12,4,2.835,10.461,88.464,0
4,30,6,0,3,12,4,2.837,10.465,88.546,0
4,30,7,0,31,13,4,29.398,12.074,910.985,720.684
4,30,8,0,54,14,5,51.31,13.689,1578.589,1375.373
4,30,9,0,75,15,5,71.389,15.134,2182.158,1966.845
4,30,10,0,88,16,5,83.899,16.428,2549.667,2326.794
4,30,11,0,105,17,5,100.381,17.788,3031.815,2798.799
4,30,12,9,206,18,6,207.534,20.634,6187.05,5881.383
4,30,13,8,207,18,5,206.833,21.096,6152.906,5848.083
4,30,14,0,64,18,4,60.914,18.302,1835.474,1627.158
4,30,15,0,23,18,4,21.838,17.12,661.582,475.981
4,30,16,0,48,18,4,45.56,17.563,1377.457,1178.183
4,30,17,0,49,17,3,46.497,16.573,1412.111,1212.16
4,30,18,0,9,17,3,8.514,15.646,259.64,81.47
4,30,19,0,0,16,1,0,16,0,0
4,30,20,0,0,15,1,0,15,0,0
4,30,21,0,0,14,1,0,14,0,0
4,30,22,0,0,13,2,0,13,0,0
4,30,23,0,0,12,2,0,12,0,0
5,1,0,0,0,11,3,0,11,0,0
5,1,1,0,0,10,3,0,10,0,0
5,1,2,0,0,10,3,0,10,0,0
5,1,3,0,0,9,3,0,9,0,0
5,1,4,0,0,8,2,0,8,0,0
5,1,5,0,2,8,2,1.889,5.928,60.139,0
5,1,6,0,20,9,3,18.94,7.626,598.46,414.038
5,1,7,0,117,11,4,111.287,11.913,3450.986,3208.945
5,1,8,693,165,12,4,612.087,24.163,17660.514,16998.891
5,1,9,793,169,13,4,822.16,30.684,23285.834,22397.094
5,1,10,857,164,14,4,975.386,35.308,27096.16,26033.924
5,1,11,885,160,15,4,1057.806,38.292,28969.664,27816.299
5,1,12,887,158,16,4,1054.153,39.338,28718.814,27577.875
5,1,13,863,159,16,4,988.799,37.974,27111.996,26049.006
5,1,14,828,152,16,4,850.519,34.955,23610.869,22707.947
5,1,15,775,137,15,4,660.103,29.673,18596.227,17899.225
5,1,16,698,111,14,3,434.185,24.491,12043.475,11574.103
5,1,17,540,80,13,2,200.874,18.068,5056.222,4777.844
5,1,18,197,32,10,2,24.919,9.33,781.575,593.721
5,1,19,0,0,9,2,0,9,0,0
5,1,20,0,0,8,1,0,8,0,0
5,1,21,0,0,7,1,0,7,0,0
5,1,22,0,0,6,1,0,6,0,0
5,1,23,0,0,6,1,0,6,0,0
5,2,0,0,0,6,1,0,6,0,0
5,2,1,0,0,6,1,0,6,0,0
5,2,2,0,0,5,1,0,5,0,0
5,2,3,0,0,5,1,0,5,0,0
5,2,4,0,0,5,1,0,5,0,0
5,2,5,116,22,6,1,17,3.985,545.669,362.229
5,2,6,485,76,8,2,165.59,10.584,4205.819,3947.043
5,2,7,696,99,10,2,396.401,19.456,11103.122,10662.563
5,2,8,779,124,12,2,625.007,28.245,17661.531,16999.869
5,2,9,248,352,14,2,561.529,29.274,16046.186,15443.348
5,2,10,167,424,15,3,588.719,28.857,16882.953,16249.999
5,2,11,23,337,15,3,350.844,23.323,10329.888,9912.297
5,2,12,60,421,14,3,483.938,24.88,14145.143,13607.877
5,2,13,27,339,14,4,363.551,21.524,10793.444,10362.163
5,2,14,0,91,13,3,86.672,14.35,2658.678,2433.534
5,2,15,3,179,12,3,173.343,14.715,5307.517,5023.196
5,2,16,132,200,11,2,255.608,16.651,7628.916,7286.424
5,2,17,252,100,10,1,152.579,13.959,4212.281,3953.359
5,2,18,144,34,9,1,26.511,8.12,835.912,647.033
5,2,19,0,0,7,2,0,7,0,0
5,2,20,0,0,6,2,0,6,0,0
5,2,21,0,0,5,1,0,5,0,0
5,2,22,0,0,4,1,0,4,0,0
5,2,23,0,0,4,1,0,4,0,0
5,3,0,0,0,3,1,0,3,0,0
5,3,1,0,0,3,1,0,3,0,0
5,3,2,0,0,2,1,0,2,0,0
5,3,3,0,0,2,1,0,2,0,0
5,3,4,0,0,2,1,0,2,0,0
5,3,5,199,21,3,1,15.95,0.901,518.706,335.766
5,3,6,583,62,5,2,171.706,7.735,4256.28,3996.362
5,3,7,761,84,8,2,410.441,17.879,11538.579,11084.798
5,3,8,848,99,11,2,643.874,27.811,18216.068,17533.553
5,3,9,893,113,12,2,840.058,34.542,23341.816,22450.643
5,3,10,207,422,12,2,623.544,29.628,17815.102,17147.699
5,3,11,9,218,13,2,219.172,19.219,6576.561,6261.17
5,3,12,232,456,14,2,701.582,31.607,19858.617,19112.367
5,3,13,294,413,14,2,707.924,33.28,19871.412,19124.652
5,3,14,174,379,15,2,527.538,29.631,15059.883,14491.559
5,3,15,64,282,15,1,318.746,25.606,9262.843,8875.874
5,3,16,4,156,14,1,150.434,18.24,4530.306,4264.144
5,3,17,0,83,13,0,78.412,15.076,2397.466,2177.741
5,3,18,0,18,12,0,17.054,9.746,533.926,350.704
5,3,19,0,0,11,0,0,11,0,0
5,3,20,0,0,11,0,0,11,0,0
5,3,21,0,0,10,0,0,10,0,0
5,3,22,0,0,9,0,0,9,0,0
5,3,23,0,0,9,0,0,9,0,0
5,4,0,0,0,8,0,0,8,0,0
5,4,1,0,0,8,0,0,8,0,0
5,4,2,0,0,7,0,0,7,0,0
5,4,3,0,0,7,0,0,7,0,0
5,4,4,0,0,6,1,0,6,0,0
5,4,5,0,2,7,1,1.889,4.44,60.526,0
5,4,6,0,21,9,1,19.889,7.012,630.122,445.109
5,4,7,0,125,11,0,118.872,12.983,3668.704,3421.9
5,4,8,116,277,12,0,348.6,24.684,10151.126,9738.753
5,4,9,139,361,13,0,476.369,32.026,13441.222,12927.234
5,4,10,405,362,14,1,760.365,37.546,20894.881,20106.9
5,4,11,735,253,14,1,1010.158,45.69,26638.988,25598.406
5,4,12,3,157,15,1,153.711,22.846,4535.786,4269.498
5,4,13,131,430,15,1,563.388,31.305,15968.561,15368.477
5,4,14,66,349,15,1,400.756,28.286,11520.473,11067.245
5,4,15,719,162,15,1,648.904,34.942,17834.057,17165.943
5,4,16,616,138,15,0,424.208,34.282,11291.529,10845.275
5,4,17,467,95,14,0,198.243,23.762,4983.013,4706.354
5,4,18,177,36,11,0,28.122,11.656,873.037,683.456
5,4,19,0,0,9,1,0,9,0,0
5,4,20,0,0,8,1,0,8,0,0
5,4,21,0,0,7,1,0,7,0,0
5,4,22,0,0,6,1,0,6,0,0
5,4,23,0,0,6,1,0,6,0,0
5,5,0,0,0,6,0,0,6,0,0
5,5,1,0,0,6,0,0,6,0,0
5,5,2,0,0,6,0,0,6,0,0
5,5,3,0,0,6,0,0,6,0,0
5,5,4,0,0,6,0,0,6,0,0
5,5,5,93,26,6,0,21.707,3.06,699.524,513.213
5,5,6,227,92,8,1,130.895,9.908,3645.756,3399.457
5,5,7,376,158,11,1,318.447,19.677,9121.802,8738.788
5,5,8,704,165,13,2,621.494,28.875,17543.557,16886.287
5,5,9,575,242,14,2,719.724,33.332,20139.213,19381.779
5,5,10,491,328,15,2,805.883,36.776,22229.771,21386.307
5,5,11,508,361,16,2,893.084,40.167,24229.094,23298.883
5,5,12,407,393,16,3,827.229,36.131,22901.127,22029.021
5,5,13,414,364,16,3,777.057,34.83,21645.422,20826.484
5,5,14,358,338,16,3,644.142,31.654,18197.168,17515.371
5,5,15,323,270,15,3,487.115,26.684,14007.083,13474.426
5,5,16,328,181,14,2,329.389,22.711,9411.572,9020.41
5,5,17,11,101,12,1,97.577,14.554,2969.775,2738.079
5,5,18,100,38,10,1,31.068,8.978,975.929,784.393
5,5,19,0,0,9,1,0,9,0,0
5,5,20,0,0,8,1,0,8,0,0
5,5,21,0,0,8,1,0,8,0,0
5,5,22,0,0,7,1,0,7,0,0
5,5,23,0,0,7,1,0,7,0,0
5,6,0,0,0,7,1,0,7,0,0
5,6,1,0,0,7,1,0,7,0,0
5,6,2,0,0,7,1,0,7,0,0
5,6,3,0,0,7,1,0,7,0,0
5,6,4,0,0,7,1,0,7,0,0
5,6,5,0,4,7,2,3.78,5.047,120.788,0
5,6,6,0,26,7,2,24.633,5.536,785.431,597.505
5,6,7,0,114,8,2,108.376,9.004,3404.001,3162.981
5,6,8,0,142,9,3,135.504,10.819,4222.298,3963.15
5,6,9,6,204,10,3,200.681,13.504,6178.5,5873.044
5,6,10,14,271,10,3,274.905,15.493,8389.301,8026.474
5,6,11,31,372,11,4,403.234,18.953,12114.331,11642.749
5,6,12,140,463,11,4,616.115,23.875,18093.498,17415.621
5,6,13,50,387,11,4,433.793,20.359,12947.977,12449.978
5,6,14,107,370,11,3,455.707,21.457,13524.285,13007.578
5,6,15,55,273,10,3,303.424,16.867,9183.104,8798.373
5,6,16,20,174,10,3,174.897,13.328,5369.566,5083.767
5,6,17,119,113,9,3,134.096,10.967,3948.917,3695.906
5,6,18,10,32,8,3,29.089,7.236,920.714,730.228
5,6,19,0,0,8,3,0,8,0,0
5,6,20,0,0,7,3,0,7,0,0
5,6,21,0,0,7,3,0,7,0,0
5,6,22,0,0,7,2,0,7,0,0
5,6,23,0,0,7,2,0,7,0,0
5,7,0,0,0,6,2,0,6,0,0
5,7,1,0,0,6,2,0,6,0,0
5,7,2,0,0,5,2,0,5,0,0
5,7,3,0,0,5,2,0,5,0,0
5,7,4,0,0,5,2,0,5,0,0
5,7,5,111,28,6,2,23.3,4.468,746.333,559.143
5,7,6,425,92,8,3,171.157,10.458,4504.017,4238.458
5,7,7,602,133,10,3,393.735,18.293,11204.411,10760.795
5,7,8,702,161,13,3,617.234,27.142,17569.838,16911.59
5,7,9,764,178,15,3,810.383,34.118,22577.221,21718.994
5,7,10,805,184,16,3,948.743,38.688,25917.498,24910.627
5,7,11,824,187,17,2,1025.276,44.779,27165.873,26100.314
5,7,12,820,189,18,2,1027.052,45.981,27043.967,25984.215
5,7,13,737,225,19,2,941.841,44.854,24936.605,23974.65
5,7,14,232,372,19,3,567.529,33.223,15918.245,15319.943
5,7,15,542,202,17,3,569.352,30.386,16030.606,15428.321
5,7,16,291,190,16,3,321.274,23.565,9172.394,8787.963
